,Brand,Model Name,Type,Capacity in Tons,Star Rating,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor Unit Weight,Outdoor Unit Weight,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,Price,indoor W,indoor h,indoor d,outdoor W,outdoor h,outdoor d,low Indoor Noise Level,high Indoor Noise Level
1,Blue Star,FS312YBTU,0,1,3,No Series,No,3323,Rotary,Yes,Yes,R32,"Comfort Sleep, iFeel, Turbo Cooling",Precision Cooling Technology,Copper,9,29.5,,No,No,0,HYDROPHILIC Golden FINS,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50HZ",741 W,32490,81.8,29.5,22.3,91.5,59,35,Low - 35 dB,High - 55 dB
2,Blue Star,FS312YBTU,0,1,3,No Series,No,3323,Rotary,Yes,Yes,R32,"Comfort Sleep, iFeel, Turbo Cooling",Precision Cooling Technology,Copper,9,29.5,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50HZ",741 W,32490,81.8,29.5,22.3,91.5,59,35,Low - 35 dB,High - 55 dB
5,Blue Star,FS312YBTU,0,1,3,No Series,No,3323,Rotary,Yes,Yes,R32,"Comfort Sleep, iFeel, Turbo Cooling",Precision Cooling Technology,Copper,9,29.5,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50HZ",741 W,32490,81.8,29.5,22.3,91.5,59,35,Low - 35 dB,High - 55 dB
6,Blue Star,3W18GBT,1,1.5,3,No Series,No,5078,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,58,0,,No,No,2.93,,,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1732 W,27345,660,430,770,0,0,0, Low - 48 dB,High - 52 dB
7,Blue Star,IC318VBTU,0,1.5,3,No Series,No,5000,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,28.5,LCD with Backlit,No,Yes,3.82,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1012.14 W,36990,97.5,32.04,22.94,88.84,58.15,36.7, Low - 43 dB,High - 58 dB
8,Blue Star,IC318VBTU,0,1.5,3,No Series,No,5000,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,28.5,LCD with Backlit,No,Yes,3.82,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1012.14 W,36990,97.5,32.04,22.94,88.84,58.15,36.7, Low - 43 dB,High - 58 dB
12,Blue Star,3WAE081YDF,1,0.75,3,YD Series,No,2499,Rotary,Yes,Yes,R410A,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,35.1,27.8,Yes,No,No,3,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,"AC 230 V, 50 Hz",840 W,19990,60,38,56,72,54.8,26.5,Low - 35 dB,High - 55 dB
15,Blue Star,3W12LA,1,1,3,No Series,No,3370,Rotary,No,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,41,28,,Yes,Yes,3.53,HYDROPHILIC BLUE FINS,COPPER CONDENSER WITH ANTI CORROSIVE BLUE FINS,No,Yes,,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,"AC 220 - 230 V, 50 Hz",1160 W,23490,560,377,615,76,55.2,25.6, Low - 32 dB,High - 45 dB
16,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,Yes,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
17,Blue Star,IC312RBTU,0,1,3,No Series,No,3425,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,11,28,,Yes,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,AC 230 V,1710 W,31899,948,302,210,880,550,365,Low - 35 dB,High - 55 dB
